10/13/2024,OREO,4.99,Unhealthy
10/13/2024,GRAPES,4.69,Healthy
10/13/2024,COUNTRY HRTH,4.49,Unknown
10/13/2024,GG CHLCKEN,13.45,Healthy
11/25/2024,LITTLE DEBBI,2.79,Unhealthy
11/25/2024,GOODGATHER,6.49,Healthy
11/20/2024,GG EGGS,6.28,Healthy
11/20/2024,GG MILK,1.89,Healthy
11/20/2024,PEPPERIDGE F,3.99,Unhealthy
11/05/2024,GG TOMATO,1.49,Healthy
11/05/2024,OREO,5.49,Unhealthy
11/10/2024,GG EGGS,5.98,Healthy
11/10/2024,GRAPES,5.79,Healthy
11/10/2024,GG MILK,1.89,Healthy
11/19/2024,GG RICE,1.69,Healthy
11/19/2024,LITTLE DEBBI,2.79,Unhealthy
11/19/2024,AVOCADO,0.95,Healthy
11/19/2024,GRAPES,3.89,Healthy
10/23/2024,QUAKER CAKES TF,3.79,Unhealthy
10/28/2024,QUAKER TF,7.58,Healthy
10/17/2024,GG CHEESE,3.69,Healthy
10/17/2024,GG TOMATO,2.69,Healthy
10/05/2024,GG CHEESE,3.69,Healthy
10/05/2024,1ST NATIONAL,2.79,Unknown
10/05/2024,OREO,4.99,Unhealthy
12/03/2002,GG CHEESE,2.49,Healthy
12/03/2002,GG CHEESE,3.69,Healthy
12/03/2002,GG EGGS,4.29,Healthy
12/06/2024,GG EGGS,4.29,Healthy
12/11/2024,GG MILK,2.59,Healthy
12/11/2024,GG VEG,4.59,Healthy
12/10/2024,PEPPERIDGE F,3.99,Unhealthy
12/09/2024,BERRIES,3.59,Healthy
12/09/2024,GG CHEESE,3.69,Healthy
12/09/2024,GG EGGS,2.79,Healthy
12/09/2024,GG FRUIT,1.16,Healthy
12/16/2024,MRKT PNTRY,3.89,Unhealthy
12/16/2024,KEEBLER,4.39,Unhealthy
12/13/2024,CHIPS AHOY,5.39,Unhealthy
12/13/2024,MRKT PNTRY,3.89,Unknown
12/13/2024,HIDDEN VLLEY,4.39,Unhealthy
12/13/2024,GG EGGS ,2.79,Healthy
12/13/2024,GOODGATHER,6.49,Healthy
